       x:             approx:          exact:  
    0.090909091    0.043113758     0.54282698
     0.18181818     0.23115424     0.68537405
     0.27272727     0.25729819     0.67971098
     0.36363636     0.23363699     0.61959674
     0.45454545     0.19259988     0.53966436
     0.54545455     0.14571525     0.45260145
     0.63636364    0.097176636     0.36300979
     0.72727273    0.048452467     0.27253794
     0.81818182     0.00000000     0.18176733
 -6.2774386E+66      1.0000000 -6.2774386E+66
