       x:             approx:          exact:  
     0.00000000     0.00000000     0.00000000
    0.076923077     0.43159922     0.49535135
     0.15384615     0.58901538     0.66447516
     0.23076923     0.61938352     0.69269955
     0.30769231     0.59088148     0.66039169
     0.38461538     0.53510081     0.60223893
     0.46153846     0.46668007     0.53313164
     0.53846154     0.39240229     0.45942157
     0.61538462     0.31541055     0.38379796
     0.69230769     0.23716124     0.30738929
     0.76923077     0.15832921     0.23066393
     0.84615385    0.079227161     0.15381362
     0.92307692     0.00000000     0.00000000
