       x:             approx:          exact:  
     0.00000000     0.00000000     0.00000000
    0.090909091     0.25791868     0.54282698
     0.18181818     0.18287016     0.68537405
     0.27272727     0.23159105     0.67971098
     0.36363636     0.22626450     0.61959674
     0.45454545     0.19916276     0.53966436
     0.54545455     0.16328800     0.45260145
     0.63636364     0.12387869     0.36300979
     0.72727273    0.083045330     0.27253794
     0.81818182    0.041638241     0.18176733
     0.90909091     0.00000000     0.00000000
